Carga,Tempo (ms),Carga %,Tempo (min)
30,35800,30%,0.5966666666666667
29,38455,29%,0.6409166666666667
30,41112,30%,0.6852
30,43769,30%,0.7294833333333334
30,46422,30%,0.7737
30,49079,30%,0.8179833333333333
30,51736,30%,0.8622666666666666
30,54391,30%,0.9065166666666666
30,57046,30%,0.9507666666666666
30,59703,30%,0.99505
30,62358,30%,1.0393
29,65015,29%,1.0835833333333333
30,67670,30%,1.1278333333333332
30,70325,30%,1.1720833333333334
29,72994,29%,1.2165666666666666
30,75651,30%,1.26085
29,78304,29%,1.3050666666666666
30,80961,30%,1.34935
30,83617,30%,1.3936166666666667
30,86273,30%,1.4378833333333334
30,88928,30%,1.4821333333333333
30,91584,30%,1.5264
30,94240,30%,1.5706666666666667
30,96897,30%,1.61495
30,99550,30%,1.6591666666666667
30,102207,30%,1.70345
30,104864,30%,1.7477333333333334
30,107519,30%,1.7919833333333333
30,110174,30%,1.8362333333333334
30,112831,30%,1.8805166666666666
30,115486,30%,1.9247666666666667
30,118143,30%,1.96905
30,120798,30%,2.0133
30,123453,30%,2.05755
30,126110,30%,2.1018333333333334
30,128767,30%,2.1461166666666665
30,131420,30%,2.1903333333333332
30,134077,30%,2.2346166666666667
29,136734,29%,2.2789
30,139389,30%,2.32315
29,142044,29%,2.3674
29,144701,29%,2.4116833333333334
30,147356,30%,2.4559333333333333
30,150013,30%,2.5002166666666668
30,152668,30%,2.5444666666666667
30,155323,30%,2.5887166666666666
30,157980,30%,2.633
30,160637,30%,2.6772833333333335
30,163290,30%,2.7215
30,165947,30%,2.7657833333333333
30,168603,30%,2.81005
30,171259,30%,2.8543166666666666
30,173914,30%,2.8985666666666665
