Id,Tempo (ms),RSSI (dBm),Checksum (bool),Lat (deg),Lon (deg),Alt (m),Hora,Min,Seg,Temp (Celsius),Pres (Pa),Hum (%),Ax (m/s2),Ay (m/s2),Az (m/s2)
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
3,3000,-90,1,-23.2135,-45.8675,400.0,12,0,2,28.2,102000,50,-0.10,-0.10,9.70
1,1000,-90,1,-23.2125,-45.8667,600.0,12,0,0,25.0,101325,45,0.01,0.02,9.81
2,2000,-90,1,-23.2130,-45.8670,850.5,12,0,1,35.5,98000,40,0.50,0.10,12.50
