Carga,Tempo (ms),Carga %,Tempo (min)
30,6589,30%,0.10981666666666667
30,9240,30%,0.154
31,11895,31%,0.19825
29,14550,29%,0.2425
30,17207,30%,0.28678333333333333
29,19864,29%,0.3310666666666667
29,22517,29%,0.37528333333333336
29,25174,29%,0.41956666666666664
30,27831,30%,0.46385
30,30486,30%,0.5081
30,33141,30%,0.55235
30,35798,30%,0.5966333333333333
29,38453,29%,0.6408833333333334
30,41110,30%,0.6851666666666667
30,43765,30%,0.7294166666666667
29,46420,29%,0.7736666666666666
30,49077,30%,0.81795
30,51734,30%,0.8622333333333333
30,54387,30%,0.90645
30,57044,30%,0.9507333333333333
29,59701,29%,0.9950166666666667
31,62354,31%,1.0392333333333332
30,65023,30%,1.0837166666666667
30,67680,30%,1.128
30,70335,30%,1.17225
30,72990,30%,1.2165
30,75647,30%,1.2607833333333334
30,78302,30%,1.3050333333333333
30,80959,30%,1.3493166666666667
30,83613,30%,1.39355
30,86269,30%,1.4378166666666667
30,88926,30%,1.4821
30,91582,30%,1.5263666666666666
30,94236,30%,1.5706
29,96893,29%,1.6148833333333332
30,99548,30%,1.6591333333333333
29,102205,29%,1.7034166666666666
30,104860,30%,1.7476666666666667
29,107515,29%,1.7919166666666666
30,110172,30%,1.8362
30,112829,30%,1.8804833333333333
30,115482,30%,1.9247
30,118139,30%,1.9689833333333333
30,120796,30%,2.0132666666666665
30,123451,30%,2.057516666666667
31,126106,31%,2.101766666666667
31,128763,31%,2.14605
31,131418,31%,2.1903
30,134093,30%,2.2348833333333333
30,136748,30%,2.2791333333333332
30,139409,30%,2.3234833333333333
30,142066,30%,2.367766666666667
30,144728,30%,2.4121333333333332
31,147381,31%,2.45635
31,150042,31%,2.5007
30,152699,30%,2.544983333333333
31,155358,31%,2.5893
31,158014,31%,2.633566666666667
30,160671,30%,2.67785
31,163331,31%,2.722183333333333
30,165988,30%,2.7664666666666666
30,168647,30%,2.810783333333333
30,171302,30%,2.8550333333333335
30,173967,30%,2.89945
30,176625,30%,2.94375
31,179284,31%,2.9880666666666666
30,181944,30%,3.0324
31,184605,31%,3.07675
30,187262,30%,3.1210333333333335
30,189924,30%,3.1654
30,192583,30%,3.2097166666666666
30,195246,30%,3.2541
31,197907,31%,3.29845
30,200563,30%,3.3427166666666666
30,203225,30%,3.3870833333333334
30,205885,30%,3.431416666666667
30,208546,30%,3.4757666666666664
30,211201,30%,3.520016666666667
30,213864,30%,3.5644
30,216522,30%,3.6087
31,219185,31%,3.6530833333333335
31,221843,31%,3.6973833333333332
31,224504,31%,3.7417333333333334
31,227163,31%,3.78605
30,229827,30%,3.83045
30,232482,30%,3.8747
30,235144,30%,3.9190666666666667
30,237804,30%,3.9634
30,240465,30%,4.00775
31,243123,31%,4.05205
30,245783,30%,4.096383333333334
30,248444,30%,4.140733333333333
30,251103,30%,4.18505
30,253764,30%,4.2294
30,256421,30%,4.2736833333333335
30,259085,30%,4.318083333333333
30,261745,30%,4.362416666666666
30,264403,30%,4.406716666666667
30,267063,30%,4.45105
30,269725,30%,4.495416666666666
30,272382,30%,4.5397
30,275039,30%,4.583983333333333
30,277697,30%,4.628283333333333
30,280356,30%,4.6726
30,283016,30%,4.716933333333333
31,285673,31%,4.761216666666667
31,288330,31%,4.8055
30,291002,30%,4.850033333333333
30,293661,30%,4.89435
30,296318,30%,4.938633333333334
30,298976,30%,4.982933333333333
31,301638,31%,5.0273
30,304298,30%,5.071633333333334
30,306958,30%,5.115966666666667
31,309614,31%,5.160233333333333
30,312271,30%,5.204516666666667
31,314931,31%,5.24885
30,317590,30%,5.293166666666667
30,320245,30%,5.337416666666667
30,322905,30%,5.38175
30,325561,30%,5.4260166666666665
30,328221,30%,5.47035
30,330879,30%,5.51465
31,333537,31%,5.55895
30,336195,30%,5.60325
30,338855,30%,5.647583333333333
30,341511,30%,5.69185
30,344170,30%,5.736166666666667
30,346830,30%,5.7805
30,349487,30%,5.824783333333333
30,352143,30%,5.86905
30,354803,30%,5.913383333333333
30,357458,30%,5.957633333333333
30,360118,30%,6.001966666666666
30,362775,30%,6.04625
30,365432,30%,6.090533333333333
30,368091,30%,6.13485
30,370751,30%,6.1791833333333335
30,373406,30%,6.223433333333333
31,376066,31%,6.267766666666667
30,378725,30%,6.312083333333334
30,381382,30%,6.356366666666666
30,384039,30%,6.40065
30,386699,30%,6.444983333333333
30,389356,30%,6.4892666666666665
31,392016,31%,6.5336
31,394672,31%,6.577866666666667
30,397329,30%,6.62215
31,399989,31%,6.666483333333334
31,402649,31%,6.710816666666667
30,405303,30%,6.75505
30,407963,30%,6.799383333333333
30,410621,30%,6.843683333333333
31,413278,31%,6.887966666666666
30,415936,30%,6.932266666666667
31,418595,31%,6.976583333333333
31,421252,31%,7.020866666666667
31,423912,31%,7.0652
31,426568,31%,7.109466666666667
32,429226,32%,7.153766666666667
30,431886,30%,7.1981
31,434544,31%,7.2424
30,437199,30%,7.28665
