Carga,Tempo (ms),Carga %,Tempo (min)
100.0,102,100.0%,0.0017
99.9,211,99.9%,0.0035166666666666666
99.8,321,99.8%,0.00535
99.8,431,99.8%,0.007183333333333333
99.7,540,99.7%,0.009
99.7,650,99.7%,0.010833333333333334
99.6,759,99.6%,0.01265
99.6,869,99.6%,0.014483333333333334
99.5,978,99.5%,0.0163
99.5,1088,99.5%,0.018133333333333335
99.4,1199,99.4%,0.019983333333333332
99.4,1308,99.4%,0.0218
99.3,1418,99.3%,0.023633333333333333
99.3,1527,99.3%,0.02545
99.2,1638,99.2%,0.0273
99.2,1747,99.2%,0.029116666666666666
99.1,1857,99.1%,0.03095
99.1,1967,99.1%,0.03278333333333333
99.0,2077,99.0%,0.034616666666666664
99.0,2187,99.0%,0.03645
98.9,2296,98.9%,0.038266666666666664
98.9,2406,98.9%,0.0401
98.8,2516,98.8%,0.041933333333333336
98.8,2626,98.8%,0.04376666666666667
98.7,2736,98.7%,0.0456
98.7,2845,98.7%,0.04741666666666667
98.6,2956,98.6%,0.04926666666666667
98.6,3065,98.6%,0.051083333333333335
98.5,3175,98.5%,0.05291666666666667
98.5,3284,98.5%,0.054733333333333335
98.4,3395,98.4%,0.05658333333333333
98.4,3505,98.4%,0.058416666666666665
98.3,3614,98.3%,0.06023333333333333
98.3,3724,98.3%,0.062066666666666666
98.2,3834,98.2%,0.0639
98.2,3944,98.2%,0.06573333333333334
98.1,4054,98.1%,0.06756666666666666
98.1,4163,98.1%,0.06938333333333334
98.0,4273,98.0%,0.07121666666666666
98.0,4383,98.0%,0.07305
97.9,4493,97.9%,0.07488333333333333
97.9,4602,97.9%,0.0767
97.8,4713,97.8%,0.07855
97.8,4823,97.8%,0.08038333333333333
97.7,4932,97.7%,0.0822
97.7,5042,97.7%,0.08403333333333333
97.6,5152,97.6%,0.08586666666666666
97.6,5262,97.6%,0.0877
97.5,5371,97.5%,0.08951666666666666
97.5,5481,97.5%,0.09135
97.4,5592,97.4%,0.0932
97.4,5701,97.4%,0.09501666666666667
97.3,5811,97.3%,0.09685
97.3,5920,97.3%,0.09866666666666667
97.2,6031,97.2%,0.10051666666666667
97.2,6140,97.2%,0.10233333333333333
97.1,6250,97.1%,0.10416666666666667
97.1,6360,97.1%,0.106
97.0,6469,97.0%,0.10781666666666667
97.0,6580,97.0%,0.10966666666666666
96.9,6689,96.9%,0.11148333333333334
96.9,6799,96.9%,0.11331666666666666
96.8,6909,96.8%,0.11515
96.8,7019,96.8%,0.11698333333333333
96.7,7129,96.7%,0.11881666666666667
96.7,7238,96.7%,0.12063333333333333
96.6,7349,96.6%,0.12248333333333333
96.6,7458,96.6%,0.1243
96.5,7568,96.5%,0.12613333333333332
96.5,7677,96.5%,0.12795
96.4,7788,96.4%,0.1298
96.4,7898,96.4%,0.13163333333333332
96.3,8007,96.3%,0.13345
96.3,8117,96.3%,0.13528333333333334
96.2,8227,96.2%,0.13711666666666666
96.2,8337,96.2%,0.13895
96.1,8446,96.1%,0.14076666666666668
96.1,8557,96.1%,0.14261666666666667
96.0,8667,96.0%,0.14445
96.0,8776,96.0%,0.14626666666666666
95.9,8886,95.9%,0.1481
95.9,8996,95.9%,0.14993333333333334
95.8,9106,95.8%,0.15176666666666666
95.8,9216,95.8%,0.1536
95.7,9325,95.7%,0.15541666666666668
95.7,9436,95.7%,0.15726666666666667
95.6,9545,95.6%,0.15908333333333333
