Id,Tempo (ms),RSSI (dBm),Checksum (bool),Lat (deg),Lon (deg),Alt (m),Hora,Min,Seg,Temp (Celsius),Pres (Pa),Hum (%),Ax (m/s2),Ay (m/s2),Az (m/s2)
1,102,-85,1,-23.2125,-45.8667,600.5,12,00,00,45.75,101325,45,0.08,0.44,10.02
2,211,-85,1,-23.2125,-45.8667,601.0,12,00,00,45.75,101325,45,0.05,0.49,9.97
3,321,-85,1,-23.2125,-45.8667,601.5,12,00,00,45.38,101325,45,0.05,0.51,10.01
4,431,-85,1,-23.2125,-45.8667,602.0,12,00,00,45.61,101325,45,0.15,0.45,9.96
5,540,-85,1,-23.2125,-45.8667,602.5,12,00,00,45.61,101325,45,0.06,0.46,10.03
6,650,-85,1,-23.2125,-45.8667,603.0,12,00,00,45.89,101325,45,0.06,0.40,9.98
7,759,-85,1,-23.2125,-45.8667,603.5,12,00,00,45.71,101325,45,0.04,0.41,9.99
8,869,-85,1,-23.2125,-45.8667,604.0,12,00,00,45.38,101325,45,0.08,0.46,9.99
9,978,-85,1,-23.2125,-45.8667,604.5,12,00,00,45.42,101325,45,0.04,0.43,10.04
10,1088,-85,1,-23.2125,-45.8667,605.0,12,00,00,45.71,101325,45,0.11,0.49,9.99
11,1199,-85,1,-23.2125,-45.8667,605.5,12,00,00,45.61,101325,45,0.03,0.43,9.98
12,1308,-85,1,-23.2125,-45.8667,606.0,12,00,00,45.61,101325,45,0.04,0.40,10.02
13,1418,-85,1,-23.2125,-45.8667,606.5,12,00,00,45.57,101325,45,0.06,0.45,10.03
14,1527,-85,1,-23.2125,-45.8667,607.0,12,00,00,45.57,101325,45,0.06,0.44,9.98
15,1638,-85,1,-23.2125,-45.8667,607.5,12,00,00,45.38,101325,45,0.06,0.46,10.02
16,1747,-85,1,-23.2125,-45.8667,608.0,12,00,00,45.52,101325,45,0.06,0.43,9.98
17,1857,-85,1,-23.2125,-45.8667,608.5,12,00,00,45.42,101325,45,0.03,0.43,10.02
18,1967,-85,1,-23.2125,-45.8667,609.0,12,00,00,45.52,101325,45,0.05,0.45,10.04
19,2077,-85,1,-23.2125,-45.8667,609.5,12,00,00,45.57,101325,45,0.04,0.45,10.05
20,2187,-85,1,-23.2125,-45.8667,610.0,12,00,00,45.85,101325,45,0.05,0.42,9.94
21,2296,-85,1,-23.2125,-45.8667,610.5,12,00,00,45.38,101325,45,0.07,0.48,9.96
22,2406,-85,1,-23.2125,-45.8667,611.0,12,00,00,45.61,101325,45,0.04,0.43,9.98
23,2516,-85,1,-23.2125,-45.8667,611.5,12,00,00,45.61,101325,45,0.08,0.45,9.98
24,2626,-85,1,-23.2125,-45.8667,612.0,12,00,00,45.57,101325,45,0.11,0.43,9.96
25,2736,-85,1,-23.2125,-45.8667,612.5,12,00,00,45.75,101325,45,0.05,0.43,10.00
26,2845,-85,1,-23.2125,-45.8667,613.0,12,00,00,45.85,101325,45,0.04,0.43,10.02
27,2956,-85,1,-23.2125,-45.8667,613.5,12,00,00,45.57,101325,45,0.08,0.45,10.07
28,3065,-85,1,-23.2125,-45.8667,614.0,12,00,00,45.61,101325,45,0.01,0.44,10.01
29,3175,-85,1,-23.2125,-45.8667,614.5,12,00,00,45.42,101325,45,0.06,0.43,10.02
30,3284,-85,1,-23.2125,-45.8667,615.0,12,00,00,45.38,101325,45,0.05,0.48,9.98
31,3395,-85,1,-23.2125,-45.8667,615.5,12,00,00,45.61,101325,45,0.07,0.45,9.95
32,3505,-85,1,-23.2125,-45.8667,616.0,12,00,00,45.75,101325,45,0.04,0.49,10.01
33,3614,-85,1,-23.2125,-45.8667,616.5,12,00,00,45.71,101325,45,0.04,0.47,10.01
34,3724,-85,1,-23.2125,-45.8667,617.0,12,00,00,45.85,101325,45,0.08,0.48,9.99
35,3834,-85,1,-23.2125,-45.8667,617.5,12,00,00,45.61,101325,45,0.09,0.42,9.99
36,3944,-85,1,-23.2125,-45.8667,618.0,12,00,00,45.57,101325,45,0.02,0.44,10.05
37,4054,-85,1,-23.2125,-45.8667,618.5,12,00,00,45.75,101325,45,0.06,0.44,9.98
38,4163,-85,1,-23.2125,-45.8667,619.0,12,00,00,45.57,101325,45,0.09,0.48,9.98
39,4273,-85,1,-23.2125,-45.8667,619.5,12,00,00,45.52,101325,45,0.08,0.48,10.00
40,4383,-85,1,-23.2125,-45.8667,620.0,12,00,00,45.57,101325,45,0.06,0.45,10.04
41,4493,-85,1,-23.2125,-45.8667,620.5,12,00,00,45.57,101325,45,0.06,0.45,10.02
42,4602,-85,1,-23.2125,-45.8667,621.0,12,00,00,45.85,101325,45,0.07,0.42,10.04
43,4713,-85,1,-23.2125,-45.8667,621.5,12,00,00,45.57,101325,45,0.04,0.42,9.99
44,4823,-85,1,-23.2125,-45.8667,622.0,12,00,00,45.71,101325,45,0.09,0.45,10.04
45,4932,-85,1,-23.2125,-45.8667,622.5,12,00,00,45.61,101325,45,0.07,0.46,10.03
46,5042,-85,1,-23.2125,-45.8667,623.0,12,00,00,45.52,101325,45,0.05,0.47,10.03
47,5152,-85,1,-23.2125,-45.8667,623.5,12,00,00,45.89,101325,45,0.09,0.46,10.02
48,5262,-85,1,-23.2125,-45.8667,624.0,12,00,00,45.57,101325,45,0.08,0.47,10.03
49,5371,-85,1,-23.2125,-45.8667,624.5,12,00,00,45.89,101325,45,0.07,0.46,10.06
50,5481,-85,1,-23.2125,-45.8667,625.0,12,00,00,45.71,101325,45,0.09,0.46,10.08
51,5592,-85,1,-23.2125,-45.8667,625.5,12,00,00,45.57,101325,45,0.06,0.43,10.01
52,5701,-85,1,-23.2125,-45.8667,626.0,12,00,00,45.38,101325,45,0.05,0.46,9.97
53,5811,-85,1,-23.2125,-45.8667,626.5,12,00,00,45.52,101325,45,0.06,0.44,9.96
54,5920,-85,1,-23.2125,-45.8667,627.0,12,00,00,45.85,101325,45,0.02,0.45,9.99
55,6031,-85,1,-23.2125,-45.8667,627.5,12,00,00,45.33,101325,45,0.05,0.47,9.98
56,6140,-85,1,-23.2125,-45.8667,628.0,12,00,00,45.94,101325,45,0.06,0.42,9.96
57,6250,-85,1,-23.2125,-45.8667,628.5,12,00,00,45.57,101325,45,0.09,0.46,10.00
58,6360,-85,1,-23.2125,-45.8667,629.0,12,00,00,45.61,101325,45,0.10,0.46,9.99
59,6469,-85,1,-23.2125,-45.8667,629.5,12,00,00,45.75,101325,45,0.05,0.44,10.06
60,6580,-85,1,-23.2125,-45.8667,630.0,12,00,00,45.61,101325,45,0.04,0.43,10.06
61,6689,-85,1,-23.2125,-45.8667,630.5,12,00,00,45.38,101325,45,0.04,0.42,10.01
62,6799,-85,1,-23.2125,-45.8667,631.0,12,00,00,45.57,101325,45,0.09,0.41,10.05
63,6909,-85,1,-23.2125,-45.8667,631.5,12,00,00,45.57,101325,45,0.10,0.45,10.00
64,7019,-85,1,-23.2125,-45.8667,632.0,12,00,00,45.42,101325,45,0.08,0.48,10.00
65,7129,-85,1,-23.2125,-45.8667,632.5,12,00,00,45.61,101325,45,0.07,0.45,9.95
66,7238,-85,1,-23.2125,-45.8667,633.0,12,00,00,45.75,101325,45,0.12,0.43,10.01
67,7349,-85,1,-23.2125,-45.8667,633.5,12,00,00,45.33,101325,45,0.08,0.47,10.01
68,7458,-85,1,-23.2125,-45.8667,634.0,12,00,00,45.57,101325,45,0.08,0.49,10.00
69,7568,-85,1,-23.2125,-45.8667,634.5,12,00,00,45.57,101325,45,0.05,0.48,10.06
70,7677,-85,1,-23.2125,-45.8667,635.0,12,00,00,45.57,101325,45,0.09,0.42,9.96
71,7788,-85,1,-23.2125,-45.8667,635.5,12,00,00,45.57,101325,45,0.15,0.38,10.11
72,7898,-85,1,-23.2125,-45.8667,636.0,12,00,00,45.57,101325,45,0.06,0.46,9.95
73,8007,-85,1,-23.2125,-45.8667,636.5,12,00,00,45.42,101325,45,0.06,0.44,10.09
74,8117,-85,1,-23.2125,-45.8667,637.0,12,00,00,45.75,101325,45,0.07,0.45,10.02
75,8227,-85,1,-23.2125,-45.8667,637.5,12,00,00,45.57,101325,45,0.04,0.45,10.01
76,8337,-85,1,-23.2125,-45.8667,638.0,12,00,00,45.75,101325,45,0.06,0.46,10.00
77,8446,-85,1,-23.2125,-45.8667,638.5,12,00,00,45.24,101325,45,0.05,0.45,10.00
78,8557,-85,1,-23.2125,-45.8667,639.0,12,00,00,45.52,101325,45,0.10,0.47,9.98
79,8667,-85,1,-23.2125,-45.8667,639.5,12,00,00,45.75,101325,45,0.04,0.45,10.05
80,8776,-85,1,-23.2125,-45.8667,640.0,12,00,00,45.57,101325,45,0.05,0.46,10.06
81,8886,-85,1,-23.2125,-45.8667,640.5,12,00,00,45.61,101325,45,0.08,0.44,10.03
82,8996,-85,1,-23.2125,-45.8667,641.0,12,00,00,45.52,101325,45,0.05,0.46,10.01
83,9106,-85,1,-23.2125,-45.8667,641.5,12,00,00,45.57,101325,45,0.07,0.45,10.04
84,9216,-85,1,-23.2125,-45.8667,642.0,12,00,00,45.57,101325,45,0.08,0.48,10.01
85,9325,-85,1,-23.2125,-45.8667,642.5,12,00,00,45.42,101325,45,0.09,0.49,10.04
86,9436,-85,1,-23.2125,-45.8667,643.0,12,00,00,45.71,101325,45,0.06,0.47,10.00
87,9545,-85,1,-23.2125,-45.8667,643.5,12,00,00,45.61,101325,45,0.04,0.49,10.02
88,9655,-85,1,-23.2125,-45.8667,644.0,12,00,00,45.61,101325,45,0.07,0.48,10.00
89,9765,-85,1,-23.2125,-45.8667,644.5,12,00,00,45.75,101325,45,0.06,0.47,9.98
90,9875,-85,1,-23.2125,-45.8667,645.0,12,00,00,45.52,101325,45,0.06,0.43,9.99
91,9985,-85,1,-23.2125,-45.8667,645.5,12,00,00,45.38,101325,45,0.04,0.47,9.97
92,10094,-85,1,-23.2125,-45.8667,646.0,12,00,00,45.61,101325,45,0.09,0.45,9.98
