Id,Tempo (ms),RSSI (dBm),Checksum (bool),Lat (deg),Lon (deg),Alt (m),Hora,Min,Seg,Temp (Celsius),Pres (Pa),Hum (%),Ax (m/s2),Ay (m/s2),Az (m/s2)
1,102,-85,1,-23.2125,-45.8667,600.5,12,00,00,44.67,101325,45,-0.06,0.14,10.03
2,211,-85,1,-23.2125,-45.8667,601.0,12,00,00,44.48,101325,45,-0.06,0.13,10.00
3,321,-85,1,-23.2125,-45.8667,601.5,12,00,00,44.72,101325,45,-0.04,0.18,9.98
4,431,-85,1,-23.2125,-45.8667,602.0,12,00,00,44.29,101325,45,-0.02,0.18,9.97
5,540,-85,1,-23.2125,-45.8667,602.5,12,00,00,44.53,101325,45,-0.02,0.17,9.93
6,651,-85,1,-23.2125,-45.8667,603.0,12,00,00,44.58,101325,45,-0.07,0.16,9.99
7,760,-85,1,-23.2125,-45.8667,603.5,12,00,00,44.48,101325,45,-0.07,0.12,9.96
8,870,-85,1,-23.2125,-45.8667,604.0,12,00,00,44.86,101325,45,-0.02,0.14,9.98
9,979,-85,1,-23.2125,-45.8667,604.5,12,00,00,44.58,101325,45,-0.02,0.13,10.03
10,1089,-85,1,-23.2125,-45.8667,605.0,12,00,00,44.81,101325,45,-0.04,0.16,9.99
11,1199,-85,1,-23.2125,-45.8667,605.5,12,00,00,44.67,101325,45,-0.01,0.17,9.98
12,1309,-85,1,-23.2125,-45.8667,606.0,12,00,00,44.58,101325,45,-0.03,0.21,10.00
13,1419,-85,1,-23.2125,-45.8667,606.5,12,00,00,44.20,101325,45,-0.04,0.12,9.98
14,1528,-85,1,-23.2125,-45.8667,607.0,12,00,00,44.53,101325,45,-0.05,0.16,9.98
15,1639,-85,1,-23.2125,-45.8667,607.5,12,00,00,44.58,101325,45,-0.06,0.16,9.95
16,1748,-85,1,-23.2125,-45.8667,608.0,12,00,00,44.81,101325,45,-0.07,0.16,9.98
17,1858,-85,1,-23.2125,-45.8667,608.5,12,00,00,44.29,101325,45,-0.06,0.15,10.07
18,1969,-85,1,-23.2125,-45.8667,609.0,12,00,00,44.53,101325,45,-0.06,0.15,9.99
19,2078,-85,1,-23.2125,-45.8667,609.5,12,00,00,44.53,101325,45,-0.05,0.17,10.02
20,2188,-85,1,-23.2125,-45.8667,610.0,12,00,00,44.53,101325,45,-0.04,0.19,10.00
21,2298,-85,1,-23.2125,-45.8667,610.5,12,00,00,44.53,101325,45,-0.07,0.14,9.95
22,2408,-85,1,-23.2125,-45.8667,611.0,12,00,00,44.58,101325,45,0.00,0.14,9.98
23,2518,-85,1,-23.2125,-45.8667,611.5,12,00,00,44.34,101325,45,-0.09,0.17,10.01
24,2627,-85,1,-23.2125,-45.8667,612.0,12,00,00,44.58,101325,45,-0.03,0.14,10.06
25,2738,-85,1,-23.2125,-45.8667,612.5,12,00,00,44.34,101325,45,-0.06,0.13,10.01
26,2847,-85,1,-23.2125,-45.8667,613.0,12,00,00,44.34,101325,45,-0.05,0.17,9.99
27,2957,-85,1,-23.2125,-45.8667,613.5,12,00,00,44.58,101325,45,-0.03,0.17,10.02
28,3067,-85,1,-23.2125,-45.8667,614.0,12,00,00,44.48,101325,45,-0.08,0.18,9.94
29,3177,-85,1,-23.2125,-45.8667,614.5,12,00,00,44.34,101325,45,0.02,0.17,9.98
30,3287,-85,1,-23.2125,-45.8667,615.0,12,00,00,44.67,101325,45,-0.07,0.17,10.00
31,3397,-85,1,-23.2125,-45.8667,615.5,12,00,00,44.53,101325,45,-0.06,0.19,10.01
32,3507,-85,1,-23.2125,-45.8667,616.0,12,00,00,44.53,101325,45,-0.04,0.14,9.97
33,3616,-85,1,-23.2125,-45.8667,616.5,12,00,00,44.72,101325,45,-0.00,0.18,10.02
34,3727,-85,1,-23.2125,-45.8667,617.0,12,00,00,44.53,101325,45,-0.03,0.18,9.94
35,3836,-85,1,-23.2125,-45.8667,617.5,12,00,00,44.67,101325,45,-0.05,0.22,9.97
36,3946,-85,1,-23.2125,-45.8667,618.0,12,00,00,44.58,101325,45,-0.07,0.13,9.96
37,4056,-85,1,-23.2125,-45.8667,618.5,12,00,00,44.53,101325,45,-0.03,0.17,9.99
38,4166,-85,1,-23.2125,-45.8667,619.0,12,00,00,44.34,101325,45,-0.05,0.15,10.04
39,4276,-85,1,-23.2125,-45.8667,619.5,12,00,00,44.53,101325,45,-0.04,0.12,10.03
40,4385,-85,1,-23.2125,-45.8667,620.0,12,00,00,44.91,101325,45,-0.04,0.18,10.05
41,4496,-85,1,-23.2125,-45.8667,620.5,12,00,00,44.72,101325,45,-0.04,0.15,9.98
42,4605,-85,1,-23.2125,-45.8667,621.0,12,00,00,44.72,101325,45,-0.05,0.18,10.02
43,4715,-85,1,-23.2125,-45.8667,621.5,12,00,00,44.53,101325,45,-0.05,0.15,10.00
44,4826,-85,1,-23.2125,-45.8667,622.0,12,00,00,44.67,101325,45,-0.06,0.15,9.94
45,4935,-85,1,-23.2125,-45.8667,622.5,12,00,00,44.81,101325,45,-0.06,0.18,10.02
46,5046,-85,1,-23.2125,-45.8667,623.0,12,00,00,44.58,101325,45,-0.06,0.15,10.03
47,5155,-85,1,-23.2125,-45.8667,623.5,12,00,00,44.48,101325,45,-0.07,0.16,9.99
48,5265,-85,1,-23.2125,-45.8667,624.0,12,00,00,44.48,101325,45,-0.04,0.14,10.01
49,5376,-85,1,-23.2125,-45.8667,624.5,12,00,00,44.58,101325,45,-0.09,0.12,10.03
50,5485,-85,1,-23.2125,-45.8667,625.0,12,00,00,44.81,101325,45,-0.08,0.16,9.98
51,5595,-85,1,-23.2125,-45.8667,625.5,12,00,00,44.72,101325,45,-0.04,0.17,10.00
52,5705,-85,1,-23.2125,-45.8667,626.0,12,00,00,44.53,101325,45,-0.07,0.14,10.01
53,5815,-85,1,-23.2125,-45.8667,626.5,12,00,00,44.58,101325,45,-0.03,0.12,10.06
54,5924,-85,1,-23.2125,-45.8667,627.0,12,00,00,44.72,101325,45,-0.01,0.16,10.04
