Id,Tempo (ms),RSSI (dBm),Checksum (bool),Lat (deg),Lon (deg),Alt (m),Hora,Min,Seg,Temp (Celsius),Pres (Pa),Hum (%),Ax (m/s2),Ay (m/s2),Az (m/s2)
0,6588,-54,1,0.0000000,0.0000000,0,0,0,0,25,948.43,57.60,3.95,0.02,0.92
1,9239,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.43,57.41,3.95,0.02,0.93
2,11896,-53,1,0.0000000,0.0000000,0,0,0,0,25,948.45,57.33,3.95,0.02,0.92
3,14551,-54,1,0.0000000,0.0000000,0,0,0,0,25,948.40,57.26,3.95,0.02,0.92
4,17206,-53,1,0.0000000,0.0000000,0,0,0,0,25,948.46,57.20,3.94,0.02,0.93
5,19863,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.45,57.16,3.95,0.02,0.92
6,22518,-53,1,0.0000000,0.0000000,0,0,0,0,25,948.44,57.16,3.95,0.01,0.92
7,25175,-53,1,0.0000000,0.0000000,0,0,0,0,25,948.45,57.14,3.95,0.02,0.92
8,27830,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.46,57.13,3.95,0.02,0.92
9,30485,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.45,57.09,3.95,0.02,0.92
