Id,Tempo (ms),RSSI (dBm),Checksum (bool),Lat (deg),Lon (deg),Alt (m),Hora,Min,Seg,Temp (Celsius),Pres (Pa),Hum (%),Ax (m/s2),Ay (m/s2),Az (m/s2)
11,35800,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.44,61.72,3.95,0.02,0.93
12,38455,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.44,61.58,3.95,0.02,0.93
13,41112,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.45,61.33,3.95,0.02,0.92
14,43769,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.44,60.63,3.96,0.01,0.93
15,46422,-50,1,0.0000000,0.0000000,0,0,0,0,24,948.44,60.53,3.95,0.02,0.93
16,49079,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.42,60.41,3.95,0.02,0.93
17,51736,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.44,60.42,3.95,0.02,0.94
18,54391,-50,1,0.0000000,0.0000000,0,0,0,0,24,948.44,60.48,3.95,0.02,0.93
19,57046,-50,1,0.0000000,0.0000000,0,0,0,0,24,948.46,60.36,3.95,0.02,0.92
20,59703,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.46,60.09,3.95,0.02,0.93
21,62358,-51,1,0.0000000,0.0000000,0,0,0,0,24,948.43,59.99,3.95,0.02,0.92
22,65015,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.47,59.97,3.95,0.02,0.93
23,67670,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.49,59.84,3.95,0.02,0.93
24,70325,-49,1,0.0000000,0.0000000,0,0,0,0,25,948.45,59.77,3.95,0.01,0.92
25,72994,-49,1,0.0000000,0.0000000,0,0,0,0,25,948.47,59.60,3.95,0.02,0.93
26,75651,-53,1,0.0000000,0.0000000,0,0,0,0,25,948.44,59.48,3.95,0.02,0.94
27,78304,-55,1,0.0000000,0.0000000,0,0,0,0,25,948.45,59.48,3.95,0.02,0.93
28,80961,-55,1,0.0000000,0.0000000,0,0,0,0,25,948.44,59.47,3.95,0.01,0.93
29,83617,-54,1,0.0000000,0.0000000,0,0,0,0,25,948.46,59.30,3.95,0.02,0.93
30,86273,-55,1,0.0000000,0.0000000,0,0,0,0,25,948.45,59.23,3.95,0.02,0.93
31,88928,-55,1,0.0000000,0.0000000,0,0,0,0,25,948.48,59.20,3.95,0.02,0.93
32,91584,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.45,59.27,3.95,0.02,0.92
33,94240,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.45,59.48,3.95,0.01,0.93
34,96897,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.42,59.39,3.95,0.01,0.93
35,99550,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.43,59.54,3.96,0.03,0.93
36,102207,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.47,59.60,3.95,0.02,0.93
37,104864,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.44,59.28,3.95,0.02,0.92
38,107519,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.46,59.21,3.95,0.02,0.93
39,110174,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.43,59.09,3.95,0.02,0.94
40,112831,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.45,59.16,3.95,0.02,0.93
41,115486,-49,1,0.0000000,0.0000000,0,0,0,0,25,948.46,59.26,3.95,0.02,0.93
42,118143,-48,1,0.0000000,0.0000000,0,0,0,0,25,948.46,59.26,3.95,0.01,0.93
43,120798,-49,1,0.0000000,0.0000000,0,0,0,0,25,948.49,59.18,3.95,0.02,0.92
44,123453,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.48,59.11,3.95,0.02,0.93
45,126110,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.47,59.02,3.95,0.01,0.93
46,128767,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.47,58.98,3.95,0.02,0.94
47,131420,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.48,58.77,3.95,0.02,0.92
48,134077,-52,1,0.0000000,0.0000000,0,0,0,0,25,948.50,58.61,3.95,0.01,0.94
49,136734,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.50,58.67,3.95,0.01,0.93
50,139389,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.45,58.35,3.95,0.02,0.92
51,142044,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.47,58.27,3.95,0.02,0.93
52,144701,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.46,58.33,3.94,0.02,0.93
53,147356,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.49,58.21,3.95,0.02,0.93
54,150013,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.48,58.13,3.95,0.01,0.92
55,152668,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.52,58.00,3.95,0.02,0.94
56,155323,-51,1,0.0000000,0.0000000,0,0,0,0,25,948.50,57.78,3.95,0.02,0.93
57,157980,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.49,57.85,3.95,0.01,0.93
58,160637,-50,1,0.0000000,0.0000000,0,0,0,0,25,948.49,57.88,3.95,0.01,0.93
