Id,Tempo (ms),RSSI (dBm),Checksum (bool),Lat (deg),Lon (deg),Alt (m),Hora,Min,Seg,Temp (Celsius),Pres (Pa),Hum (%),Ax (m/s2),Ay (m/s2),Az (m/s2)
1,102,-85,1,-23.2125,-45.8667,600.5,12,00,00,45.38,101325,45,0.02,0.25,10.05
2,211,-85,1,-23.2125,-45.8667,601.0,12,00,00,45.94,101325,45,-0.02,0.28,10.00
3,321,-85,1,-23.2125,-45.8667,601.5,12,00,00,45.57,101325,45,-0.04,0.26,9.96
4,431,-85,1,-23.2125,-45.8667,602.0,12,00,00,45.57,101325,45,0.05,0.25,9.98
5,540,-85,1,-23.2125,-45.8667,602.5,12,00,00,45.57,101325,45,0.01,0.21,10.01
6,650,-85,1,-23.2125,-45.8667,603.0,12,00,00,46.08,101325,45,-0.04,0.25,10.03
7,760,-85,1,-23.2125,-45.8667,603.5,12,00,00,45.85,101325,45,0.02,0.23,10.01
8,870,-85,1,-23.2125,-45.8667,604.0,12,00,00,45.57,101325,45,-0.01,0.25,10.05
9,979,-85,1,-23.2125,-45.8667,604.5,12,00,00,45.57,101325,45,-0.02,0.21,9.98
10,1089,-85,1,-23.2125,-45.8667,605.0,12,00,00,45.57,101325,45,-0.05,0.26,9.99
11,1199,-85,1,-23.2125,-45.8667,605.5,12,00,00,45.89,101325,45,0.00,0.23,9.97
12,1309,-85,1,-23.2125,-45.8667,606.0,12,00,00,45.89,101325,45,0.00,0.20,10.01
13,1419,-85,1,-23.2125,-45.8667,606.5,12,00,00,45.89,101325,45,-0.02,0.23,10.01
14,1528,-85,1,-23.2125,-45.8667,607.0,12,00,00,45.42,101325,45,-0.05,0.20,9.99
15,1638,-85,1,-23.2125,-45.8667,607.5,12,00,00,45.52,101325,45,-0.05,0.24,10.04
16,1748,-85,1,-23.2125,-45.8667,608.0,12,00,00,45.57,101325,45,-0.00,0.25,9.99
17,1858,-85,1,-23.2125,-45.8667,608.5,12,00,00,45.57,101325,45,-0.03,0.22,10.02
18,1968,-85,1,-23.2125,-45.8667,609.0,12,00,00,45.75,101325,45,-0.01,0.19,9.98
19,2078,-85,1,-23.2125,-45.8667,609.5,12,00,00,45.33,101325,45,-0.03,0.25,10.10
20,2188,-85,1,-23.2125,-45.8667,610.0,12,00,00,45.75,101325,45,-0.02,0.19,10.01
21,2298,-85,1,-23.2125,-45.8667,610.5,12,00,00,45.71,101325,45,0.01,0.24,10.03
22,2408,-85,1,-23.2125,-45.8667,611.0,12,00,00,45.75,101325,45,-0.02,0.25,10.00
23,2518,-85,1,-23.2125,-45.8667,611.5,12,00,00,45.71,101325,45,-0.02,0.22,10.02
24,2628,-85,1,-23.2125,-45.8667,612.0,12,00,00,45.71,101325,45,-0.02,0.25,9.99
25,2738,-85,1,-23.2125,-45.8667,612.5,12,00,00,45.89,101325,45,-0.03,0.27,10.03
26,2847,-85,1,-23.2125,-45.8667,613.0,12,00,00,45.57,101325,45,-0.03,0.24,10.04
27,2958,-85,1,-23.2125,-45.8667,613.5,12,00,00,45.61,101325,45,0.02,0.21,10.06
28,3067,-85,1,-23.2125,-45.8667,614.0,12,00,00,45.57,101325,45,-0.04,0.27,9.97
29,3177,-85,1,-23.2125,-45.8667,614.5,12,00,00,45.85,101325,45,-0.04,0.24,10.02
30,3287,-85,1,-23.2125,-45.8667,615.0,12,00,00,45.71,101325,45,-0.00,0.28,10.04
31,3397,-85,1,-23.2125,-45.8667,615.5,12,00,00,45.57,101325,45,-0.02,0.26,10.05
32,3507,-85,1,-23.2125,-45.8667,616.0,12,00,00,45.85,101325,45,0.00,0.27,10.02
33,3617,-85,1,-23.2125,-45.8667,616.5,12,00,00,45.38,101325,45,-0.06,0.29,9.96
34,3727,-85,1,-23.2125,-45.8667,617.0,12,00,00,45.52,101325,45,-0.03,0.24,10.00
35,3836,-85,1,-23.2125,-45.8667,617.5,12,00,00,45.85,101325,45,-0.03,0.24,9.99
36,3946,-85,1,-23.2125,-45.8667,618.0,12,00,00,45.75,101325,45,-0.02,0.26,10.01
37,4057,-85,1,-23.2125,-45.8667,618.5,12,00,00,45.61,101325,45,0.02,0.21,9.96
38,4166,-85,1,-23.2125,-45.8667,619.0,12,00,00,46.04,101325,45,-0.06,0.22,9.97
39,4276,-85,1,-23.2125,-45.8667,619.5,12,00,00,45.57,101325,45,-0.05,0.25,9.96
40,4386,-85,1,-23.2125,-45.8667,620.0,12,00,00,45.57,101325,45,-0.01,0.20,10.00
41,4496,-85,1,-23.2125,-45.8667,620.5,12,00,00,45.61,101325,45,0.00,0.24,10.04
42,4605,-85,1,-23.2125,-45.8667,621.0,12,00,00,45.71,101325,45,0.00,0.23,10.01
43,4716,-85,1,-23.2125,-45.8667,621.5,12,00,00,45.75,101325,45,-0.00,0.24,10.01
44,4826,-85,1,-23.2125,-45.8667,622.0,12,00,00,45.75,101325,45,-0.02,0.23,9.98
45,4935,-85,1,-23.2125,-45.8667,622.5,12,00,00,45.75,101325,45,-0.03,0.24,9.93
